Product Code,Item Name,Category,Quantity,Unit Price,Unit Cost,Gross Revenue,Net Profit,Artist Share
"P21-ORV-PT-B5-01","ORV B5 Prints Sky Couple","🖼️ Prints",4,75000,15000,300000,240000,120000
"P21-BNHA-PCD","Postcard BNHA (Old) BNHA Prince singles","📬 Postcards",18,10000,4800,180000,93600,46800
"P21-HQ-PCD","Postcard Haikyuu (Old)","📬 Postcards",12,15000,4800,180000,122400,61200
"P21-ORV-POL-SET-01-REG","ORV Polaroid set 01 REGULAR","📸 Polaroids",3,60000,15000,180000,135000,67500
"P21-ORV-PT-B5-02","KDJ Garden","🖼️ Prints",4,75000,15000,300000,240000,120000
"P21-ORV-PT-B5-03","YJH Black","🖼️ Prints",2,75000,15000,150000,120000,60000
"P21-ORV-PT-B5-04","YJH Flower","🖼️ Prints",2,75000,15000,150000,120000,60000
"P21-ORV-POL-CP","ORV Polaroid Jongdok New Matt & Sirio","📸 Polaroids",1,20000,5000,20000,15000,7500
"P21-ORV-POL-SET-01-HOLO","ORV Polaroid set 01 HOLOGRAM","📸 Polaroids",1,100000,60000,100000,40000,20000
"P21-ORV-POL","ORV Polaroid (Singles) (Fancy)","📸 Polaroids",1,20000,5000,20000,15000,7500
"P21-ORV-BK-SL-01-REG","Pesa21 sketchlog 01 Reguler","📚 Books",1,200000,54000,200000,146000,73000
