Artist,Product Code,Item Name,Price,Sales,Revenue Share
"EREBUN","ERE-ORV-ST-YJH","ORV Standee Yoo Junghyeok",250000,1,160900
"EREBUN","ERE-ORV-ST-KDJ","ORV Standee Kim Dokja",250000,1,160900
"SALE ITEMS","OLD-BK-SENRI","Senri Artbook (Clearance)",20000,1,-60000
"SALE ITEMS","CLEAR-FILES","Clear Files!",5000,1,5000
"PESA 21","P21-HQ-PCD","Haikyuu Postcards (All types, single)",15000,2,10500
"PESA 21","P21-BNHA-PCD","BNHA Postcards (Singles)",10000,5,13750
"PESA 21","P21-ORV-POL-CP","ORV Polaroid New CP (Singles)",20000,1,7750
"PESA 21","P21-ORV-POL-TW","ORV Polaroid (TW Version)",20000,2,10750
"PESA 21","P21-ORV-POL-SET-01-REG","ORV Polaroid set Regular",60000,2,23000
"PESA 21","P21-ORV-PT-B5-01","ORV Prints B5 - Sky Couple",50000,2,40000
"PESA 21","P21-ORV-PT-B5-02","ORV Prints B5 - KDJ Garden",50000,3,60000
"PESA 21","P21-ORV-PT-B5-03","ORV Prints B5 - YJH Black",50000,1,20000
"PESA 21","P21-ORV-PT-B5-04","ORV Prints B5 - YJH Flower",50000,1,20000
"PESA 21","P21-BK-SK-01-LE","Sketchlog 01 (LIMITED)",250000,1,76000
"GENTLECAT","GC-HSR-PC-DH","HSR PC Danheng (Duduk)",10000,1,8200
"GENTLECAT","GC-HSR-PC-DHIL","HSR PC Danheng IL (Duduk)",10000,1,8200
"GENTLECAT","GC-GI-PC-NE","GI PC Neuvilette",10000,1,8200
"GENTLECAT","GC-GI-PC-ZL","GI PC Zhongli",10000,1,8200
"GENTLECAT","GC-HSR-KC-KF1","HSR KC Kafka Duduk",30000,1,12500
"GENTLECAT","GC-CAT-PT-BLUE","Cat prints Blue Persia",35000,2,35000
"GENTLECAT","GC-CAT-PT-CLCK","Cat prints Calico Kasur",50000,1,32500
"GENTLECAT","GC-CAT-PT-FLF","Cat prints Fluffy Scottish Fold",35000,1,17500
"GENTLECAT","GC-CAT-PT-KNF","Cat prints Knife Cat & Dog",35000,1,17500
"KOUWARRA","KW-ORV-STN-OMA","ORV Standee Omamori",50000,3,-75000
